2025-09-01 08:05:38 | INFO     | __main__:main:82 - 启动崩坏：星穹铁道自动化工具
2025-09-01 08:05:38 | INFO     | core.config_manager:__init__:181 - 配置管理器初始化完成，配置目录: config
2025-09-01 08:05:38 | INFO     | database.db_manager:initialize_database:226 - 数据库初始化完成
2025-09-01 08:05:38 | INFO     | automation.game_detector:_load_templates:83 - 加载了 0 个模板图片
2025-09-01 08:05:38 | INFO     | automation.game_detector:__init__:63 - 游戏检测器初始化完成
2025-09-01 08:05:38 | INFO     | automation.automation_controller:__init__:88 - 自动化控制器初始化完成
2025-09-01 08:05:38 | INFO     | core.performance_monitor:__init__:235 - 性能监控系统初始化完成
2025-09-01 08:05:38 | INFO     | core.performance_monitor:start_monitoring:246 - 性能监控已启动
2025-09-01 08:05:38 | INFO     | src.gui.main_window:_init_advanced_modules:114 - 性能监控器初始化完成
2025-09-01 08:05:39 | INFO     | core.exception_recovery:__init__:181 - 异常恢复系统初始化完成
2025-09-01 08:05:39 | INFO     | src.gui.main_window:_init_advanced_modules:126 - 异常恢复机制初始化完成
2025-09-01 08:05:39 | INFO     | core.multi_task_manager:__init__:305 - 多任务并行管理器初始化完成
2025-09-01 08:05:39 | INFO     | src.gui.main_window:_init_advanced_modules:139 - 多任务管理器初始化完成
2025-09-01 08:05:39 | INFO     | monitoring.task_monitor:__init__:75 - 任务监控器初始化完成
2025-09-01 08:05:39 | INFO     | src.gui.main_window:__init__:81 - 任务监控器初始化完成
2025-09-01 08:05:39 | INFO     | core.task_manager:__init__:121 - 任务管理器初始化完成
2025-09-01 08:05:39 | WARNING  | src.gui.main_window:_create_task_tab:334 - 智能任务调度器初始化失败: attempted relative import beyond top-level package
2025-09-01 08:05:39 | INFO     | src.gui.task_list_widget:_connect_monitor_signals:321 - 任务监控器信号连接完成
2025-09-01 08:05:39 | ERROR    | core.task_manager:list_tasks_sync:1329 - 转换任务数据失败 ee6da7c0-703f-43a3-bea6-abdd8518fdc9: 'automation' is not a valid TaskType
2025-09-01 08:05:39 | DEBUG    | core.task_manager:list_tasks_sync:1332 - 同步获取任务列表成功，共 0 个任务
2025-09-01 08:05:39 | DEBUG    | src.gui.task_list_widget:refresh_task_list:701 - 任务列表已刷新，共 0 个任务
2025-09-01 08:05:39 | INFO     | src.gui.task_list_widget:__init__:72 - 任务列表界面初始化完成
2025-09-01 08:05:39 | INFO     | core.task_validator:__init__:59 - 任务验证器初始化完成
2025-09-01 08:05:39 | INFO     | src.gui.task_creation_widget:__init__:53 - 任务创建界面初始化完成
2025-09-01 08:05:39 | INFO     | src.gui.game_settings_widget:_load_settings:295 - 游戏设置加载完成
2025-09-01 08:05:39 | INFO     | src.gui.automation_settings_widget:_load_settings:588 - 自动化配置加载完成
